"BillID","Major","MajorProb","Minor","MinorProb","Private"
"113-hr-140",15,0.2,1525,0.31,0
"113-hr-1400",16,0.79,1608,0.88,0
"113-hr-1401",99,1,9900,1,1
"113-hr-1402",16,0.54,1608,0.78,0
"113-hr-1403",12,0.19,1208,0.47,0
"113-hr-1404",3,0.31,301,0.3,0
"113-hr-1405",16,0.93,1608,0.5,0
"113-hr-1406",13,0.21,1301,0.3,0
"113-hr-1407",3,0.55,321,0.64,0
"113-hr-1408",3,0.56,321,0.69,0
"113-hr-1409",18,0.31,1803,0.49,0
"113-hr-141",12,0.47,1209,0.59,0
"113-hr-1410",15,0.22,1525,0.28,0
"113-hr-1411",21,0.62,2101,0.9,0
